route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_138,agency_1,"572","",,3,,,
route_139,agency_1,"601","",,3,,,
route_140,agency_1,"605","",,3,,,
route_141,agency_1,"608","",,3,,,
route_142,agency_1,"610","",,3,,,
route_143,agency_1,"611","",,3,,,
route_147,agency_1,"662","",,3,,,
route_148,agency_1,"664","",,3,,,
route_149,agency_1,"669","",,3,,,
route_150,agency_1,"990","LR0",,3,,,
route_151,agency_1,"902","",,3,,,
route_152,agency_1,"903","",,3,,,
route_153,agency_1,"904","",,3,,,
route_154,agency_1,"915","",,3,,,
route_157,agency_1,"271","",,3,,,
route_162,agency_1,"609","",,3,,,
route_163,agency_1,"284","",,3,,,
route_164,agency_1,"295","",,3,,,
route_165,agency_1,"300","",,3,,,
route_166,agency_1,"310","",,3,,,
route_169,agency_1,"192","",,3,,,
route_196,agency_1,"160","",,3,,,
route_197,agency_1,"116","",,3,,,
route_199,agency_1,"469","",,3,,,
route_200,agency_1,"435","",,3,,,
route_202,agency_1,"918","",,3,,,
route_203,agency_1,"948","",,3,,,
route_321,agency_1,"290","",,3,,,
route_329,agency_1,"132","",,3,,,
route_330,agency_1,"475","",,3,,,
route_349,agency_1,"704","",,3,,,
route_359,agency_1,"700","",,3,,,
route_387,agency_1,"917","",,3,,,
route_388,agency_1,"937","",,3,,,
route_425,agency_1,"272","",,3,,,
route_431,agency_1,"191","",,3,,,
route_432,agency_1,"199","",,3,,,
route_477,agency_1,"513","",,3,,,
route_481,agency_1,"420","",,3,,,
route_482,agency_1,"494","",,3,,,
route_495,agency_1,"910","",,3,,,
route_507,agency_1,"264","",,3,,,
route_513,agency_1,"219","",,3,,,
route_569,agency_1,"200","",,3,,,
route_575,agency_1,"274","",,3,,,
route_576,agency_1,"180","",,3,,,
route_580,agency_1,"134","",,3,,,
route_582,agency_1,"138","",,3,,,
route_583,agency_1,"139","",,3,,,
route_587,agency_1,"144","",,3,,,
route_588,agency_1,"149","",,3,,,
route_589,agency_1,"151","",,3,,,
route_592,agency_1,"158","",,3,,,
route_594,agency_1,"162","",,3,,,
route_596,agency_1,"164","",,3,,,
route_598,agency_1,"168","",,3,,,
route_599,agency_1,"169","",,3,,,
route_600,agency_1,"171","",,3,,,
route_601,agency_1,"172","",,3,,,
route_602,agency_1,"173","",,3,,,
route_603,agency_1,"174","",,3,,,
route_604,agency_1,"175","",,3,,,
route_606,agency_1,"179","",,3,,,
route_608,agency_1,"182","",,3,,,
route_612,agency_1,"194","",,3,,,
route_614,agency_1,"202","",,3,,,
route_615,agency_1,"203","",,3,,,
route_616,agency_1,"204","",,3,,,
route_617,agency_1,"207","",,3,,,
route_623,agency_1,"198","",,3,,,
route_624,agency_1,"476","",,3,,,
route_660,agency_1,"111","",,3,,,
route_661,agency_1,"161","",,3,,,
route_752,agency_1,"433","",,3,,,
route_753,agency_1,"701","",,3,,,
route_760,agency_1,"195","",,3,,,
route_761,agency_1,"317","",,3,,,
route_769,agency_1,"288","",,3,,,
route_770,agency_1,"298","",,3,,,
route_774,agency_1,"234","",,3,,,
route_782,agency_1,"140","",,3,,,
route_821,agency_1,"104","",,3,,,
route_822,agency_1,"299","",,3,,,
route_846,agency_1,"176","",,3,,,
route_863,agency_1,"279","",,3,,,
route_864,agency_1,"228","",,3,,,
route_865,agency_1,"723","",,3,,,
route_867,agency_1,"717","",,3,,,
route_872,agency_1,"135","",,3,,,
route_873,agency_1,"254","",,3,,,
route_912,agency_1,"156","",,3,,,
